cloud,location,endpoint
AWS,南非(开普敦) - South Africa(Cape Town),ec2.af-south-1.amazonaws.com
AWS,中国(香港) - China(Hong Kong),ec2.ap-east-1.amazonaws.com
AWS,日本(东京) - Japan(Tokyo),ec2.ap-northeast-1.amazonaws.com
AWS,韩国(首尔) - South Korea(Seoul),ec2.ap-northeast-2.amazonaws.com
AWS,日本(大阪) - Japan(Osaka),ec2.ap-northeast-3.amazonaws.com
AWS,新加坡(新加坡) - Singapore(Singapore),ec2.ap-southeast-1.amazonaws.com
AWS,澳大利亚(悉尼) - Australia(Sydney),ec2.ap-southeast-2.amazonaws.com
AWS,印度尼西亚(雅加达) - Indonesia(Jakarta),ec2.ap-southeast-3.amazonaws.com
AWS,澳大利亚(墨尔本) - Australia(Melbourne),ec2.ap-southeast-4.amazonaws.com
AWS,印度(孟买) - India(Mumbai),ec2.ap-south-1.amazonaws.com
AWS,印度(海得拉巴) - India(Hyderabad),ec2.ap-south-2.amazonaws.com
AWS,加拿大(多伦多) - Canada(Toronto),ec2.ca-central-1.amazonaws.com
AWS,德国(法兰克福) - Germany(Frankfurt),ec2.eu-central-1.amazonaws.com
AWS,瑞士(苏黎世) - Switzerland(Zurich),ec2.eu-central-2.amazonaws.com
AWS,瑞典(斯德哥尔摩) - Sweden(Stockholm),ec2.eu-north-1.amazonaws.com
AWS,意大利(米兰) - Italy(Milan),ec2.eu-south-1.amazonaws.com
AWS,西班牙(马德里) - Spain(Madrid),ec2.eu-south-2.amazonaws.com
AWS,爱尔兰(都柏林) - Ireland(Dublin),ec2.eu-west-1.amazonaws.com
AWS,英国(伦敦) - United Kingdom(London),ec2.eu-west-2.amazonaws.com
AWS,法国(巴黎) - France(Paris),ec2.eu-west-3.amazonaws.com
AWS,阿联酋(迪拜) - United Arab Emirates(Dubai),ec2.me-central-1.amazonaws.com
AWS,巴林(麦纳麦) - Bahrain(Manama),ec2.me-south-1.amazonaws.com
AWS,巴西(圣保罗) - Brazil(S?o Paulo),ec2.sa-east-1.amazonaws.com
AWS,美国(弗吉尼亚) - United States(Virginia),ec2.us-east-1.amazonaws.com
AWS,美国(俄亥俄) - United States(Ohio),ec2.us-east-2.amazonaws.com
AWS,美国(加利福尼亚) - United States(California),ec2.us-west-1.amazonaws.com
AWS,美国(俄勒冈) - United States(Oregon),ec2.us-west-2.amazonaws.com
AWS,中国(北京) - China(Beijing),ec2.cn-north-1.amazonaws.com.cn
AWS,中国(银川) - China(Yinchuan),ec2.cn-northwest-1.amazonaws.com.cn
Aliyun,中国(北京) - China(Beijing),www.oss-cn-beijing.aliyuncs.com
